"id","name","latitude","longitude","country"
"29687","Acedera","39.07651","-5.572270","ES"
"21085","Acerenza","40.767939","15.925673","IT"
"19254","Acerra","40.939797","14.372879","IT"
"66440","Acerra (Vesuviana)","40.947296","14.38257","IT"
"29688","Aceuchal","38.647492","-6.486316","ES"
"69528","Achalmstraße Holzgerlingen","48.64418","9.009627","DE"
"24593","Achanalt","57.609921","-4.914243","GB"
"34458","Acharting Bahnhof","47.891068","12.992609","AT"
"33649","Achau Bahnhof","48.082122","16.377024","AT"
"33534","Achenlohe Bahnhof","48.04585","13.197801","AT"
"9015","Achères","48.966667","2.066667","FR"
"9166","Achères-Grand-Cormier","48.955184","2.091903","FR"
"10399","Achères-Ville","48.97011","2.07739","FR"
"7147","Achern","48.633988","8.065319","DE"
"13969","Achern Stadt","48.62552","8.067971","DE"
"197","Acheux-Franleu","50.082602","1.657421","FR"
"10389","Achicourt","50.266667","2.766667","FR"
"95","Achiet","50.131753","2.780168","FR"
"6778","Achim","53.015986","9.030446","DE"
"14098","Achkarren","48.060089","7.607867","DE"
"69331","Achkarren Bahnhof Vogtsburg im Kaiserstuhl","48.05975","7.60838","DE"
"34402","Achleitnersiedlung Bahnhof","48.321507","14.20568","AT"
"10899","Achmer","52.390481","7.942158","DE"
"8079","Achnasheen","57.579205","-5.072421","GB"
"24594","Achnashellach","57.482697","-5.333001","GB"
"41080","Achseten Bettbach","46.531025","7.592352","CH"
"41081","Achseten Bönigen","46.535627","7.596532","CH"
"41082","Achseten Hoher Steg","46.528004","7.592145","CH"
"41083","Achseten Kirche","46.525946","7.592424","CH"
"41084","Achseten Marchbach","46.515968","7.587965","CH"
"41085","Achseten Schmitten","46.53969","7.598735","CH"
"41086","Achseten Tregel","46.520534","7.589224","CH"
"29035","Achterwehr","54.31491","9.964021","DE"
"10400","Achy","49.566667","1.950000","FR"
"66740","Acilia","41.783410","12.360488","IT"
"19255","Acireale","37.595783","15.161736","IT"
"24595","Acklington","55.307129","-1.651816","GB"
"41089","Acla da Fans","46.954758","10.435901","CH"
"37126","Acla da Fontauna","46.697176","8.845781","CH"
"41087","Acla Medel","46.635542","8.84739","CH"
"41088","Acla Safien","46.756438","9.35475","CH"
"24596","Acle","52.634647","1.543981","GB"
"41090","Aclens collège","46.567233","6.510294","CH"
"24597","Acocks Green","52.449291","-1.81898","GB"
"19256","Acqua Acetosa","41.793727","12.617142","IT"
"66745","Acqua Acetosa (ATAC)","41.931445","12.487360","IT"
"41091","Acquacalda","46.537632","8.834473","CH"
"38171","Acquaformosa","39.723937","16.091706","IT"
"20055","Acquafredda","40.034808","15.672432","IT"
"20884","Acquamela","40.733431","14.772306","IT"
"21721","Acquanegra Cremonese","45.172","9.88856","IT"
"20067","Acquappesa","39.486439","15.955969","IT"
"34823","Acquarica del Capo","39.91051","18.247658","IT"
"34824","Acquarica di Lecce","40.306891","18.314166","IT"
"41092","Acquarossa Casa Anziani","46.450868","8.93864","CH"
"41093","Acquarossa Ospedale","46.451138","8.940321","CH"
"41094","Acquarossa Scuole","46.458841","8.935664","CH"
"41095","Acquarossa-Comprovasco","46.455156","8.938487","CH"
"21722","Acquasparta","42.6883","12.5498","IT"
"21248","Acquaviva delle Fonti","40.8929","16.8399","IT"
"34825","Acquaviva delle Fonti (Bus)","40.899724","16.840604","IT"
"19559","Acquaviva-Casteltermini","37.570415","13.674804","IT"
"22067","Acquedolci-San Fratello","38.058056","14.587500","IT"
"20063","Acqui Terme","44.67228","8.473663","IT"
"17984","Acren","50.733068","3.846978","BE"
"35685","Acri","39.488691","16.382857","IT"
"21718","Acri-Bisignano-Luzzi","39.441389","16.245278","IT"
